"","country","points","price","province","taster_name","variety"
"13","US",83,25,"New Jersey","Alexander Peartree","Chardonnay"
"14","US",84,18,"Virginia","Alexander Peartree","Chardonnay"
"16","US",84,32,"Michigan","Alexander Peartree","Chardonnay"
"20","US",91,20,"Virginia","Alexander Peartree","Merlot"
"26","US",85,15,"Michigan","Alexander Peartree","Chardonnay"
"31","US",86,14,"Virginia","Alexander Peartree","Rose"
"32","US",86,22,"Virginia","Alexander Peartree","Rose"
"33","US",86,15,"Virginia","Alexander Peartree","Chardonnay"
"34","US",85,15,"Virginia","Alexander Peartree","Chardonnay"
"38","US",85,18,"America","Alexander Peartree","Chardonnay"
"42","US",86,29,"Colorado","Alexander Peartree","Chardonnay"
"45","US",88,35,"Colorado","Alexander Peartree","Chardonnay"
"52","US",85,25,"Michigan","Alexander Peartree","Pinot Noir"
"53","US",85,25,"Michigan","Alexander Peartree","Chardonnay"
"62","US",85,32,"Virginia","Alexander Peartree","Merlot"
"64","US",84,22,"Virginia","Alexander Peartree","Chardonnay"
"73","US",87,24,"Virginia","Alexander Peartree","Rose"
"74","US",87,22,"Virginia","Alexander Peartree","Merlot"
"83","US",86,22,"Michigan","Alexander Peartree","Chardonnay"
"86","US",88,28,"Colorado","Alexander Peartree","Syrah"
"87","US",86,32,"Virginia","Alexander Peartree","Chardonnay"
"90","US",86,25,"Virginia","Alexander Peartree","Chardonnay"
"95","US",91,28,"Michigan","Alexander Peartree","Chardonnay"
"98","US",83,50,"Michigan","Alexander Peartree","Syrah"
"99","US",82,49,"Michigan","Alexander Peartree","Chardonnay"
"100","US",82,48,"Michigan","Alexander Peartree","Merlot"
"101","US",87,13,"Texas","Alexander Peartree","Rose"
"110","US",85,45,"Michigan","Alexander Peartree","Pinot Noir"
"116","US",91,28,"Michigan","Alexander Peartree","Chardonnay"
"118","US",87,28,"Virginia","Alexander Peartree","Chardonnay"
"122","US",88,30,"Virginia","Alexander Peartree","Chardonnay"
"123","US",88,22,"Virginia","Alexander Peartree","Chardonnay"
"124","US",87,29,"Michigan","Alexander Peartree","Pinot Noir"
"127","US",84,23,"Virginia","Alexander Peartree","Rose"
"131","US",84,27,"Virginia","Alexander Peartree","Merlot"
